dataset,comparacao,ano,obitos_novo,obitos_alvo,diferenca
nao_considerados,painel_referencia,1997,252,252,0
nao_considerados,painel_referencia,1998,202,202,0
nao_considerados,painel_referencia,1999,333,333,0
nao_considerados,painel_referencia,2000,433,433,0
nao_considerados,painel_referencia,2001,280,280,0
nao_considerados,painel_referencia,2002,293,293,0
nao_considerados,painel_referencia,2003,315,315,0
nao_considerados,painel_referencia,2004,370,370,0
nao_considerados,painel_referencia,2005,331,331,0
nao_considerados,painel_referencia,2006,578,578,0
nao_considerados,painel_referencia,2007,630,630,0
nao_considerados,painel_referencia,2008,655,655,0
nao_considerados,painel_referencia,2009,619,619,0
nao_considerados,painel_referencia,2010,603,603,0
nao_considerados,painel_referencia,2011,420,420,0
nao_considerados,painel_referencia,2012,349,349,0
nao_considerados,painel_referencia,2013,283,283,0
nao_considerados,painel_referencia,2014,293,293,0
nao_considerados,painel_referencia,2015,270,270,0
nao_considerados,painel_referencia,2016,248,248,0
nao_considerados,painel_referencia,2017,209,209,0
nao_considerados,painel_referencia,2018,216,216,0
nao_considerados,painel_referencia,2019,216,216,0
nao_considerados,painel_referencia,2020,208,208,0
nao_considerados,painel_referencia,2021,310,310,0
nao_considerados,painel_referencia,2022,245,245,0
nao_considerados,painel_referencia,2023,227,227,0
nao_considerados,painel_referencia,2024,198,198,0
nao_considerados,painel_referencia,2025,160,160,0
